"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.12.2019","12.952,98","12.708,54","12.965,80","12.708,54","-","1,92%"
"16.12.2019","12.708,63","12.864,28","12.942,85","12.708,63","-","-1,19%"
"13.12.2019","12.861,36","12.799,54","12.920,12","12.759,23","-","0,48%"
"12.12.2019","12.799,46","12.695,17","12.839,99","12.695,17","-","0,82%"
"11.12.2019","12.695,13","12.760,47","12.867,51","12.643,66","-","-0,51%"
"10.12.2019","12.760,47","12.883,08","12.914,21","12.713,77","-","-0,96%"
"09.12.2019","12.884,63","12.868,27","12.926,77","12.828,02","-","0,12%"
"06.12.2019","12.868,62","12.948,80","13.016,66","12.856,08","-","-0,62%"
"05.12.2019","12.948,56","12.937,31","13.019,52","12.900,36","-","0,10%"
"04.12.2019","12.935,60","12.666,62","12.935,60","12.666,62","-","2,13%"
"03.12.2019","12.666,04","12.592,29","12.704,59","12.572,13","-","0,59%"
"02.12.2019","12.592,14","12.545,49","12.694,82","12.545,49","-","0,37%"
"29.11.2019","12.545,49","12.522,68","12.585,69","12.479,37","-","0,18%"
"28.11.2019","12.522,66","12.472,18","12.533,73","12.318,91","-","0,40%"
"27.11.2019","12.472,18","12.315,24","12.515,70","12.261,76","-","1,27%"
"26.11.2019","12.315,19","12.580,13","12.580,13","12.231,24","-","-2,11%"
"25.11.2019","12.580,41","12.765,89","12.771,00","12.569,35","-","-1,45%"
"22.11.2019","12.765,86","12.641,95","12.765,86","12.582,08","-","0,98%"
"21.11.2019","12.642,03","12.475,89","12.642,03","12.466,33","-","1,33%"
"19.11.2019","12.475,89","12.558,38","12.603,77","12.397,54","-","-0,65%"
"18.11.2019","12.556,95","12.675,71","12.788,60","12.556,95","-","-0,94%"
"14.11.2019","12.675,64","12.571,01","12.676,26","12.509,37","-","0,83%"
"13.11.2019","12.571,15","12.673,09","12.673,09","12.446,45","-","-0,81%"
"12.11.2019","12.674,00","12.842,75","12.842,75","12.555,67","-","-1,31%"
"11.11.2019","12.842,75","12.713,85","12.842,75","12.621,71","-","0,98%"
"08.11.2019","12.718,35","12.941,56","12.941,56","12.643,60","-","-1,74%"
"07.11.2019","12.943,14","12.924,88","13.008,77","12.883,64","-","0,14%"
"06.11.2019","12.924,88","13.018,85","13.121,07","12.889,11","-","-0,72%"
"05.11.2019","13.018,49","12.909,13","13.096,21","12.906,90","-","0,85%"
"04.11.2019","12.909,30","12.890,97","12.982,81","12.824,69","-","0,14%"
"01.11.2019","12.890,82","12.846,20","12.968,62","12.800,75","-","0,35%"
"31.10.2019","12.846,17","13.079,28","13.089,87","12.734,71","-","-1,78%"
"30.10.2019","13.079,54","13.003,60","13.081,84","12.801,93","-","0,58%"
"29.10.2019","13.003,89","13.164,34","13.164,34","12.971,56","-","-1,22%"
"28.10.2019","13.164,55","12.984,47","13.167,24","12.963,07","-","1,39%"
"25.10.2019","12.984,47","12.923,33","13.050,24","12.891,73","-","0,47%"
"24.10.2019","12.923,09","12.909,77","12.971,64","12.846,05","-","0,12%"
"23.10.2019","12.907,36","12.784,26","12.936,09","12.694,23","-","0,96%"
"22.10.2019","12.784,00","12.516,10","12.784,00","12.495,70","-","2,14%"
"21.10.2019","12.516,02","12.356,62","12.516,42","12.285,97","-","1,29%"
"18.10.2019","12.356,91","12.367,39","12.410,19","12.323,55","-","-0,08%"
"17.10.2019","12.367,39","12.367,55","12.472,11","12.311,99","-","-0,02%"
