,Date,Close,Open,High,Low,Volume,Var%
2332,2018-06-11,3099.13,3120.37,3146.02,3080.55,0,"-0,71%"
2333,2018-06-12,3103.54,3098.96,3130.41,3079.54,0,"0,14%"
2334,2018-06-13,3089.29,3103.57,3110.79,3039.99,0,"-0,46%"
2335,2018-06-14,3097.03,3089.95,3132.48,3089.95,0,"0,25%"
2336,2018-06-15,3060.63,3097.03,3097.03,3025.18,0,"-1,18%"
2337,2018-06-18,3040.26,3060.51,3060.51,3004.58,0,"-0,67%"
2338,2018-06-19,3100.42,3039.96,3130.62,3021.02,0,"1,98%"
2339,2018-06-20,3105.42,3100.85,3146.02,3085.63,0,"0,16%"
2340,2018-06-21,3047.57,3105.39,3113.86,3047.57,0,"-1,86%"
2341,2018-06-22,3059.51,3047.58,3081.37,3028.17,0,"0,39%"
2342,2018-06-25,3066.96,3059.20,3091.78,3040.57,0,"0,24%"
2343,2018-06-26,3081.96,3069.63,3083.18,3036.61,0,"0,49%"
2344,2018-06-27,3021.13,3081.96,3083.85,3002.91,0,"-1,97%"
2345,2018-06-28,3041.44,3020.51,3048.62,3009.41,0,"0,67%"
2346,2018-06-29,3075.32,3041.98,3086.18,3041.98,0,"1,11%"
2347,2018-07-02,3093.48,3075.46,3104.08,3057.29,0,"0,59%"
2348,2018-07-03,3140.50,3093.48,3162.35,3093.48,0,"1,52%"
2349,2018-07-04,3157.38,3140.58,3167.60,3130.55,0,"0,54%"
2350,2018-07-05,3157.37,3157.38,3172.75,3131.42,0,"-0,00%"
2351,2018-07-06,3175.21,3157.30,3183.49,3136.83,0,"0,57%"
2352,2018-07-10,3188.91,3174.94,3201.02,3168.71,0,"0,43%"
2353,2018-07-11,3150.73,3188.72,3188.72,3148.86,0,"-1,20%"
2354,2018-07-12,3188.42,3150.89,3190.73,3150.89,0,"1,20%"
2355,2018-07-13,3230.60,3188.42,3235.28,3179.04,0,"1,32%"
2356,2018-07-16,3249.06,3231.00,3260.53,3231.00,0,"0,57%"
2357,2018-07-17,3312.35,3249.12,3328.43,3246.36,0,"1,95%"
2358,2018-07-18,3267.81,3312.56,3312.56,3257.30,0,"-1,34%"
2359,2018-07-19,3304.65,3267.81,3304.65,3208.70,0,"1,13%"
2360,2018-07-20,3339.76,3304.83,3382.65,3304.83,0,"1,06%"
2361,2018-07-23,3289.82,3339.76,3342.80,3289.60,0,"-1,50%"
2362,2018-07-24,3324.64,3291.35,3333.03,3291.35,0,"1,06%"
2363,2018-07-25,3346.87,3324.72,3358.59,3321.37,0,"0,67%"
2364,2018-07-26,3343.75,3346.88,3377.39,3329.65,0,"-0,09%"
2365,2018-07-27,3323.65,3343.82,3365.97,3312.23,0,"-0,60%"
2366,2018-07-30,3306.40,3323.65,3335.99,3304.69,0,"-0,52%"
2367,2018-07-31,3277.41,3306.31,3306.66,3263.53,0,"-0,88%"
2368,2018-08-01,3296.43,3277.44,3317.28,3268.70,0,"0,58%"
2369,2018-08-02,3306.23,3296.60,3314.24,3274.28,0,"0,30%"
2370,2018-08-03,3359.07,3306.22,3371.40,3304.51,0,"1,60%"
2371,2018-08-06,3359.02,3359.15,3382.64,3347.93,0,"-0,00%"
2372,2018-08-07,3325.78,3359.02,3389.32,3319.11,0,"-0,99%"
2373,2018-08-08,3277.01,3325.78,3336.52,3269.55,0,"-1,47%"
2374,2018-08-09,3240.56,3276.96,3278.55,3224.85,0,"-1,11%"
2375,2018-08-10,3142.44,3240.58,3240.58,3133.31,0,"-3,03%"
2376,2018-08-13,3191.86,3142.54,3192.61,3106.42,0,"1,57%"
2377,2018-08-14,3244.87,3191.87,3252.44,3191.87,0,"1,66%"
2378,2018-08-15,3196.94,3244.81,3244.81,3172.20,0,"-1,48%"
2379,2018-08-16,3177.82,3197.22,3211.49,3158.86,0,"-0,60%"
2380,2018-08-17,3158.46,3177.49,3177.49,3115.78,0,"-0,61%"
2381,2018-08-20,3167.53,3157.31,3173.22,3128.44,0,"0,29%"
2382,2018-08-21,3104.93,3167.44,3171.13,3093.65,0,"-1,98%"
2383,2018-08-22,3164.85,3104.93,3165.53,3091.74,0,"1,93%"
2384,2018-08-23,3119.67,3164.85,3189.60,3108.00,0,"-1,43%"
2385,2018-08-24,3146.43,3119.67,3163.47,3119.30,0,"0,86%"
2386,2018-08-27,3197.41,3146.52,3204.25,3146.52,0,"1,62%"
2387,2018-08-28,3169.74,3197.33,3197.57,3149.84,0,"-0,87%"
2388,2018-08-29,3185.73,3169.76,3203.21,3169.76,0,"0,50%"
2389,2018-08-30,3110.56,3185.66,3185.66,3103.97,0,"-2,36%"
2390,2018-08-31,3114.02,3110.56,3129.35,3096.54,0,"0,11%"
2391,2018-09-03,3094.60,3113.74,3115.61,3079.49,0,"-0,62%"
2392,2018-09-04,3021.22,3094.63,3094.63,3020.07,0,"-2,37%"
2393,2018-09-05,3029.23,3021.15,3040.59,3005.31,0,"0,27%"
2394,2018-09-06,3063.69,3029.73,3068.78,3019.22,0,"1,14%"
2395,2018-09-10,3063.81,3063.69,3096.72,3045.71,0,"0,00%"
2396,2018-09-11,3019.23,3063.75,3063.75,2999.68,0,"-1,46%"
2397,2018-09-12,3009.07,3019.74,3034.83,3002.53,0,"-0,34%"
2398,2018-09-13,2973.44,3009.52,3012.43,2970.02,0,"-1,18%"
2399,2018-09-14,2993.14,2973.44,3003.27,2959.25,0,"0,66%"
2400,2018-09-17,3057.34,2993.12,3059.73,2987.07,0,"2,14%"
2401,2018-09-18,3122.40,3057.49,3122.40,3050.24,0,"2,13%"
2402,2018-09-19,3098.81,3122.43,3135.08,3079.97,0,"-0,76%"
2403,2018-09-20,3096.99,3105.09,3122.94,3075.28,0,"-0,06%"
2404,2018-09-21,3155.96,3097.04,3184.12,3097.04,0,"1,90%"
2405,2018-09-24,3084.59,3155.77,3156.13,3079.67,0,"-2,26%"
2406,2018-09-25,3088.30,3084.43,3093.16,3041.85,0,"0,12%"
2407,2018-09-26,3120.31,3089.31,3149.67,3087.49,0,"1,04%"
2408,2018-09-27,3161.42,3120.39,3180.75,3119.58,0,"1,32%"
2409,2018-09-28,3129.75,3161.26,3161.26,3114.43,0,"-1,00%"
2410,2018-10-01,3086.72,3129.76,3139.14,3078.65,0,"-1,37%"
2411,2018-10-02,3157.76,3086.90,3172.26,3086.90,0,"2,30%"
2412,2018-10-03,3219.37,3157.94,3269.99,3157.94,0,"1,95%"
2413,2018-10-04,3189.52,3219.17,3219.30,3151.44,0,"-0,93%"
2414,2018-10-05,3177.76,3189.58,3232.06,3160.90,0,"-0,37%"
2415,2018-10-08,3277.57,3177.80,3331.53,3177.80,0,"3,14%"
2416,2018-10-09,3246.70,3277.57,3292.89,3246.08,0,"-0,94%"
2417,2018-10-10,3161.57,3246.72,3246.72,3161.57,0,"-2,62%"
2418,2018-10-11,3136.28,3165.25,3207.12,3126.21,0,"-0,80%"
2419,2018-10-15,3100.15,3138.49,3172.26,3087.70,0,"-1,15%"
