,Unnamed: 0,Date,Close,Open,High,Low,Volume,Var%,Var
3165,3165,2017-10-27,8284.29,8289.26,8360.92,8257.26,0,"-0,06%",-0.0005995710380375385
3166,3166,2017-10-30,8096.3,8284.29,8284.29,8039.61,0,"-2,27%",-0.022692348808050156
3167,3167,2017-10-31,7998.9,8096.71,8164.62,7972.18,0,"-1,20%",-0.01203018706291914
3168,3168,2017-11-01,7912.89,7999.02,8067.81,7912.89,0,"-1,08%",-0.010752728208899498
3169,3169,2017-11-03,7932.48,7914.83,8010.66,7859.73,0,"0,25%",0.0024757073260843754
3170,3170,2017-11-06,7950.58,7930.88,7981.61,7911.96,0,"0,23%",0.00228175800293684
3171,3171,2017-11-07,7720.33,7950.62,7950.79,7720.33,0,"-2,90%",-0.028960151597857475
3172,3172,2017-11-08,7962.71,7720.33,8001.05,7719.07,0,"3,14%",0.03139502927660942
3173,3173,2017-11-09,7783.78,7962.71,7969.78,7769.46,0,"-2,25%",-0.02247099205851555
3174,3174,2017-11-10,7734.32,7784.11,7809.36,7670.84,0,"-0,64%",-0.0063542393036186695
3175,3175,2017-11-13,7761.8,7729.27,7800.14,7681.23,0,"0,36%",0.0035529949236661196
3176,3176,2017-11-14,7626.84,7761.8,7821.18,7618.73,0,"-1,74%",-0.017387719824910164
3177,3177,2017-11-16,7852.58,7626.71,7892.72,7625.05,0,"2,96%",0.02959810383617878
3178,3178,2017-11-17,7943.49,7852.58,7982.46,7826.11,0,"1,16%",0.01157708652317524
3179,3179,2017-11-21,8086.59,7944.48,8145.31,7944.48,0,"1,80%",0.018014751374721527
3180,3180,2017-11-22,8046.44,8086.59,8113.84,8003.92,0,"-0,50%",-0.0049650100991129875
3181,3181,2017-11-23,8013.14,8046.24,8046.24,7940.93,0,"-0,41%",-0.004138476215302944
3182,3182,2017-11-24,7952.14,8013.14,8023.24,7945.54,0,"-0,76%",-0.007612496614456177
3183,3183,2017-11-27,7963.05,7952.14,7973.91,7836.04,0,"0,14%",0.0013719577109441161
3184,3184,2017-11-28,7967.41,7965.89,8054.55,7944.4,0,"0,05%",0.0005475289071910083
3185,3185,2017-11-29,7795.84,7969.76,8016.57,7794.03,0,"-2,15%",-0.021533973515033722
3186,3186,2017-11-30,7685.28,7796.02,7796.02,7649.2,0,"-1,42%",-0.014181923121213913
3187,3187,2017-12-01,7723.42,7685.28,7749.79,7621.34,0,"0,50%",0.004962733946740627
3188,3188,2017-12-04,7812.04,7723.42,7894.87,7723.42,0,"1,15%",0.011474191211163998
3189,3189,2017-12-05,7764.53,7812.13,7940.35,7739.55,0,"-0,61%",-0.006081637926399708
3190,3190,2017-12-06,7841.18,7761.1,7850.95,7653.71,0,"0,99%",0.009871814399957657
3191,3191,2017-12-07,7758.92,7840.89,7840.89,7613.99,0,"-1,05%",-0.010490767657756805
3192,3192,2017-12-08,7771.46,7758.92,7872.48,7758.92,0,"0,16%",0.0016162042738869786
3193,3193,2017-12-11,7793.48,7780.13,7859.54,7761.66,0,"0,28%",0.002833444392308593
3194,3194,2017-12-12,7910.48,7793.38,7910.48,7684.12,0,"1,50%",0.015012549236416817
3195,3195,2017-12-13,7782.54,7910.18,7986.09,7743.14,0,"-1,62%",-0.016173481941223145
3196,3196,2017-12-14,7725.32,7782.62,7782.62,7677.3,0,"-0,74%",-0.0073523554019629955
3197,3197,2017-12-15,7737.68,7723.71,7787.87,7703.35,0,"0,16%",0.0015999337192624807
3198,3198,2017-12-18,7752.76,7741.06,7815.84,7735.31,0,"0,19%",0.0019489045953378081
3199,3199,2017-12-19,7698.54,7752.55,7753.21,7662.06,0,"-0,70%",-0.006993638351559639
3200,3200,2017-12-20,7736.16,7699.67,7771.91,7699.67,0,"0,49%",0.004886640701442957
3201,3201,2017-12-21,7918.37,7736.57,7932.38,7722.41,0,"2,36%",0.0235530287027359
3202,3202,2017-12-22,7925.94,7916.8,7932.58,7857.09,0,"0,10%",0.0009560048347339034
3203,3203,2017-12-26,7957.0,7925.94,8000.47,7907.53,0,"0,39%",0.003918778151273727
3204,3204,2017-12-27,7983.89,7957.94,8029.26,7957.94,0,"0,34%",0.0033794143237173557
3205,3205,2017-12-28,8020.86,7983.68,8044.1,7983.59,0,"0,46%",0.004630574956536293
3206,3206,2018-01-02,8185.28,8020.9,8191.43,8020.9,0,"2,05%",0.02049904875457287
3207,3207,2018-01-03,8259.99,8185.32,8280.95,8157.31,0,"0,91%",0.0091273607686162
3208,3208,2018-01-04,8363.67,8259.79,8392.91,8259.79,0,"1,26%",0.01255207322537899
3209,3209,2018-01-05,8413.0,8363.68,8413.0,8309.5,0,"0,59%",0.005898128263652325
3210,3210,2018-01-08,8428.05,8412.92,8439.6,8332.88,0,"0,18%",0.0017888981383293867
3211,3211,2018-01-09,8335.92,8426.09,8426.34,8312.58,0,"-1,09%",-0.010931354016065598
3212,3212,2018-01-10,8291.57,8336.62,8336.62,8259.27,0,"-0,53%",-0.005320348776876926
3213,3213,2018-01-11,8429.75,8290.64,8429.75,8290.64,0,"1,67%",0.01666511967778206
3214,3214,2018-01-12,8425.65,8429.75,8430.7,8369.27,0,"-0,05%",-0.0004863726790063083
3215,3215,2018-01-15,8463.9,8425.65,8468.35,8425.65,0,"0,45%",0.004539709072560072
3216,3216,2018-01-16,8559.09,8463.9,8582.8,8460.13,0,"1,12%",0.011246588081121445
3217,3217,2018-01-17,8715.98,8559.11,8730.96,8528.33,0,"1,83%",0.018330220133066177
3218,3218,2018-01-18,8754.41,8717.12,8772.63,8695.2,0,"0,44%",0.004409142769873142
3219,3219,2018-01-19,8820.33,8754.41,8842.25,8754.38,0,"0,75%",0.007529919035732746
3220,3220,2018-01-22,8944.14,8817.64,8944.14,8794.28,0,"1,40%",0.014036890119314194
3221,3221,2018-01-23,8921.53,8944.41,8999.22,8905.82,0,"-0,25%",-0.0025279121473431587
3222,3222,2018-01-24,9365.09,8921.53,9365.09,8921.53,0,"4,97%",0.04971792921423912
3223,3223,2018-01-26,9662.66,9365.09,9706.99,9365.09,0,"3,18%",0.03177438676357269
3224,3224,2018-01-29,9467.39,9662.7,9662.7,9443.3,0,"-2,02%",-0.02020872011780739
3225,3225,2018-01-30,9479.44,9466.46,9486.47,9354.19,0,"0,13%",0.0012727900175377727
3226,3226,2018-01-31,9567.17,9479.53,9719.4,9479.53,0,"0,93%",0.009254765696823597
3227,3227,2018-02-01,9561.82,9566.75,9627.94,9505.96,0,"-0,06%",-0.0005592040251940489
3228,3228,2018-02-02,9406.35,9561.49,9561.49,9365.1,0,"-1,63%",-0.016259456053376198
